season,lg,team,playoffs,abbreviation
2023,NBA,Atlanta Hawks,False,ATL
2023,NBA,Boston Celtics,False,BOS
2023,NBA,Brooklyn Nets,False,BRK
2023,NBA,Charlotte Hornets,False,CHO
2023,NBA,Chicago Bulls,False,CHI
2023,NBA,Cleveland Cavaliers,False,CLE
2023,NBA,Dallas Mavericks,False,DAL
2023,NBA,Denver Nuggets,False,DEN
2023,NBA,Detroit Pistons,False,DET
2023,NBA,Golden State Warriors,False,GSW
2023,NBA,Houston Rockets,False,HOU
2023,NBA,Indiana Pacers,False,IND
2023,NBA,Los Angeles Clippers,False,LAC
2023,NBA,Los Angeles Lakers,False,LAL
2023,NBA,Memphis Grizzlies,False,MEM
2023,NBA,Miami Heat,False,MIA
2023,NBA,Milwaukee Bucks,False,MIL
2023,NBA,Minnesota Timberwolves,False,MIN
2023,NBA,New Orleans Pelicans,False,NOP
2023,NBA,New York Knicks,False,NYK
2023,NBA,Oklahoma City Thunder,False,OKC
2023,NBA,Orlando Magic,False,ORL
2023,NBA,Philadelphia 76ers,False,PHI
2023,NBA,Phoenix Suns,False,PHO
2023,NBA,Portland Trail Blazers,False,POR
2023,NBA,Sacramento Kings,False,SAC
2023,NBA,San Antonio Spurs,False,SAS
2023,NBA,Toronto Raptors,False,TOR
2023,NBA,Utah Jazz,False,UTA
2023,NBA,Washington Wizards,False,WAS
2022,NBA,Atlanta Hawks,True,ATL
2022,NBA,Boston Celtics,True,BOS
2022,NBA,Brooklyn Nets,True,BRK
2022,NBA,Charlotte Hornets,False,CHO
2022,NBA,Chicago Bulls,True,CHI
2022,NBA,Cleveland Cavaliers,False,CLE
2022,NBA,Dallas Mavericks,True,DAL
2022,NBA,Denver Nuggets,True,DEN
2022,NBA,Detroit Pistons,False,DET
2022,NBA,Golden State Warriors,True,GSW
2022,NBA,Houston Rockets,False,HOU
2022,NBA,Indiana Pacers,False,IND
2022,NBA,Los Angeles Clippers,False,LAC
2022,NBA,Los Angeles Lakers,False,LAL
2022,NBA,Memphis Grizzlies,True,MEM
2022,NBA,Miami Heat,True,MIA
2022,NBA,Milwaukee Bucks,True,MIL
2022,NBA,Minnesota Timberwolves,True,MIN
2022,NBA,New Orleans Pelicans,True,NOP
2022,NBA,New York Knicks,False,NYK
2022,NBA,Oklahoma City Thunder,False,OKC
2022,NBA,Orlando Magic,False,ORL
2022,NBA,Philadelphia 76ers,True,PHI
2022,NBA,Phoenix Suns,True,PHO
2022,NBA,Portland Trail Blazers,False,POR
2022,NBA,Sacramento Kings,False,SAC
2022,NBA,San Antonio Spurs,False,SAS
2022,NBA,Toronto Raptors,True,TOR
2022,NBA,Utah Jazz,True,UTA
2022,NBA,Washington Wizards,False,WAS
2021,NBA,Atlanta Hawks,True,ATL
2021,NBA,Boston Celtics,True,BOS
2021,NBA,Brooklyn Nets,True,BRK
2021,NBA,Charlotte Hornets,False,CHO
2021,NBA,Chicago Bulls,False,CHI
2021,NBA,Cleveland Cavaliers,False,CLE
2021,NBA,Dallas Mavericks,True,DAL
2021,NBA,Denver Nuggets,True,DEN
2021,NBA,Detroit Pistons,False,DET
2021,NBA,Golden State Warriors,False,GSW
2021,NBA,Houston Rockets,False,HOU
2021,NBA,Indiana Pacers,False,IND
2021,NBA,Los Angeles Clippers,True,LAC
2021,NBA,Los Angeles Lakers,True,LAL
2021,NBA,Memphis Grizzlies,True,MEM
2021,NBA,Miami Heat,True,MIA
2021,NBA,Milwaukee Bucks,True,MIL
2021,NBA,Minnesota Timberwolves,False,MIN
2021,NBA,New Orleans Pelicans,False,NOP
2021,NBA,New York Knicks,True,NYK
2021,NBA,Oklahoma City Thunder,False,OKC
2021,NBA,Orlando Magic,False,ORL
2021,NBA,Philadelphia 76ers,True,PHI
2021,NBA,Phoenix Suns,True,PHO
2021,NBA,Portland Trail Blazers,True,POR
2021,NBA,Sacramento Kings,False,SAC
2021,NBA,San Antonio Spurs,False,SAS
2021,NBA,Toronto Raptors,False,TOR
2021,NBA,Utah Jazz,True,UTA
2021,NBA,Washington Wizards,True,WAS
2020,NBA,Atlanta Hawks,False,ATL
2020,NBA,Boston Celtics,True,BOS
2020,NBA,Brooklyn Nets,True,BRK
2020,NBA,Charlotte Hornets,False,CHO
2020,NBA,Chicago Bulls,False,CHI
2020,NBA,Cleveland Cavaliers,False,CLE
2020,NBA,Dallas Mavericks,True,DAL
2020,NBA,Denver Nuggets,True,DEN
2020,NBA,Detroit Pistons,False,DET
2020,NBA,Golden State Warriors,False,GSW
2020,NBA,Houston Rockets,True,HOU
2020,NBA,Indiana Pacers,True,IND
2020,NBA,League Average,False,
2020,NBA,Los Angeles Clippers,True,LAC
2020,NBA,Los Angeles Lakers,True,LAL
2020,NBA,Memphis Grizzlies,False,MEM
2020,NBA,Miami Heat,True,MIA
2020,NBA,Milwaukee Bucks,True,MIL
2020,NBA,Minnesota Timberwolves,False,MIN
2020,NBA,New Orleans Pelicans,False,NOP
2020,NBA,New York Knicks,False,NYK
2020,NBA,Oklahoma City Thunder,True,OKC
2020,NBA,Orlando Magic,True,ORL
2020,NBA,Philadelphia 76ers,True,PHI
2020,NBA,Phoenix Suns,False,PHO
2020,NBA,Portland Trail Blazers,True,POR
2020,NBA,Sacramento Kings,False,SAC
2020,NBA,San Antonio Spurs,False,SAS
2020,NBA,Toronto Raptors,True,TOR
2020,NBA,Utah Jazz,True,UTA
2020,NBA,Washington Wizards,False,WAS
2019,NBA,Atlanta Hawks,False,ATL
2019,NBA,Boston Celtics,True,BOS
2019,NBA,Brooklyn Nets,True,BRK
2019,NBA,Charlotte Hornets,False,CHO
2019,NBA,Chicago Bulls,False,CHI
2019,NBA,Cleveland Cavaliers,False,CLE
2019,NBA,Dallas Mavericks,False,DAL
2019,NBA,Denver Nuggets,True,DEN
2019,NBA,Detroit Pistons,True,DET
2019,NBA,Golden State Warriors,True,GSW
2019,NBA,Houston Rockets,True,HOU
2019,NBA,Indiana Pacers,True,IND
2019,NBA,League Average,False,
2019,NBA,Los Angeles Clippers,True,LAC
2019,NBA,Los Angeles Lakers,False,LAL
2019,NBA,Memphis Grizzlies,False,MEM
2019,NBA,Miami Heat,False,MIA
2019,NBA,Milwaukee Bucks,True,MIL
2019,NBA,Minnesota Timberwolves,False,MIN
2019,NBA,New Orleans Pelicans,False,NOP
2019,NBA,New York Knicks,False,NYK
2019,NBA,Oklahoma City Thunder,True,OKC
2019,NBA,Orlando Magic,True,ORL
2019,NBA,Philadelphia 76ers,True,PHI
2019,NBA,Phoenix Suns,False,PHO
2019,NBA,Portland Trail Blazers,True,POR
2019,NBA,Sacramento Kings,False,SAC
2019,NBA,San Antonio Spurs,True,SAS
2019,NBA,Toronto Raptors,True,TOR
2019,NBA,Utah Jazz,True,UTA
2019,NBA,Washington Wizards,False,WAS
2018,NBA,Atlanta Hawks,False,ATL
2018,NBA,Boston Celtics,True,BOS
2018,NBA,Brooklyn Nets,False,BRK
2018,NBA,Charlotte Hornets,False,CHO
2018,NBA,Chicago Bulls,False,CHI
2018,NBA,Cleveland Cavaliers,True,CLE
2018,NBA,Dallas Mavericks,False,DAL
2018,NBA,Denver Nuggets,False,DEN
2018,NBA,Detroit Pistons,False,DET
2018,NBA,Golden State Warriors,True,GSW
2018,NBA,Houston Rockets,True,HOU
2018,NBA,Indiana Pacers,True,IND
2018,NBA,League Average,False,
2018,NBA,Los Angeles Clippers,False,LAC
2018,NBA,Los Angeles Lakers,False,LAL
2018,NBA,Memphis Grizzlies,False,MEM
2018,NBA,Miami Heat,True,MIA
2018,NBA,Milwaukee Bucks,True,MIL
2018,NBA,Minnesota Timberwolves,True,MIN
2018,NBA,New Orleans Pelicans,True,NOP
2018,NBA,New York Knicks,False,NYK
2018,NBA,Oklahoma City Thunder,True,OKC
2018,NBA,Orlando Magic,False,ORL
2018,NBA,Philadelphia 76ers,True,PHI
2018,NBA,Phoenix Suns,False,PHO
2018,NBA,Portland Trail Blazers,True,POR
2018,NBA,Sacramento Kings,False,SAC
2018,NBA,San Antonio Spurs,True,SAS
2018,NBA,Toronto Raptors,True,TOR
2018,NBA,Utah Jazz,True,UTA
2018,NBA,Washington Wizards,True,WAS
2017,NBA,Atlanta Hawks,True,ATL
2017,NBA,Boston Celtics,True,BOS
2017,NBA,Brooklyn Nets,False,BRK
2017,NBA,Charlotte Hornets,False,CHO
2017,NBA,Chicago Bulls,True,CHI
2017,NBA,Cleveland Cavaliers,True,CLE
2017,NBA,Dallas Mavericks,False,DAL
2017,NBA,Denver Nuggets,False,DEN
2017,NBA,Detroit Pistons,False,DET
2017,NBA,Golden State Warriors,True,GSW
2017,NBA,Houston Rockets,True,HOU
2017,NBA,Indiana Pacers,True,IND
2017,NBA,League Average,False,
2017,NBA,Los Angeles Clippers,True,LAC
2017,NBA,Los Angeles Lakers,False,LAL
2017,NBA,Memphis Grizzlies,True,MEM
2017,NBA,Miami Heat,False,MIA
2017,NBA,Milwaukee Bucks,True,MIL
2017,NBA,Minnesota Timberwolves,False,MIN
2017,NBA,New Orleans Pelicans,False,NOP
2017,NBA,New York Knicks,False,NYK
2017,NBA,Oklahoma City Thunder,True,OKC
2017,NBA,Orlando Magic,False,ORL
2017,NBA,Philadelphia 76ers,False,PHI
2017,NBA,Phoenix Suns,False,PHO
2017,NBA,Portland Trail Blazers,True,POR
2017,NBA,Sacramento Kings,False,SAC
2017,NBA,San Antonio Spurs,True,SAS
2017,NBA,Toronto Raptors,True,TOR
2017,NBA,Utah Jazz,True,UTA
2017,NBA,Washington Wizards,True,WAS
2016,NBA,Atlanta Hawks,True,ATL
2016,NBA,Boston Celtics,True,BOS
2016,NBA,Brooklyn Nets,False,BRK
2016,NBA,Charlotte Hornets,True,CHO
2016,NBA,Chicago Bulls,False,CHI
2016,NBA,Cleveland Cavaliers,True,CLE
2016,NBA,Dallas Mavericks,True,DAL
2016,NBA,Denver Nuggets,False,DEN
2016,NBA,Detroit Pistons,True,DET
2016,NBA,Golden State Warriors,True,GSW
2016,NBA,Houston Rockets,True,HOU
2016,NBA,Indiana Pacers,True,IND
2016,NBA,League Average,False,
2016,NBA,Los Angeles Clippers,True,LAC
2016,NBA,Los Angeles Lakers,False,LAL
2016,NBA,Memphis Grizzlies,True,MEM
2016,NBA,Miami Heat,True,MIA
2016,NBA,Milwaukee Bucks,False,MIL
2016,NBA,Minnesota Timberwolves,False,MIN
2016,NBA,New Orleans Pelicans,False,NOP
2016,NBA,New York Knicks,False,NYK
2016,NBA,Oklahoma City Thunder,True,OKC
2016,NBA,Orlando Magic,False,ORL
2016,NBA,Philadelphia 76ers,False,PHI
2016,NBA,Phoenix Suns,False,PHO
2016,NBA,Portland Trail Blazers,True,POR
2016,NBA,Sacramento Kings,False,SAC
2016,NBA,San Antonio Spurs,True,SAS
2016,NBA,Toronto Raptors,True,TOR
2016,NBA,Utah Jazz,False,UTA
2016,NBA,Washington Wizards,False,WAS
2015,NBA,Atlanta Hawks,True,ATL
2015,NBA,Boston Celtics,True,BOS
2015,NBA,Brooklyn Nets,True,BRK
2015,NBA,Charlotte Hornets,False,CHO
2015,NBA,Chicago Bulls,True,CHI
2015,NBA,Cleveland Cavaliers,True,CLE
2015,NBA,Dallas Mavericks,True,DAL
2015,NBA,Denver Nuggets,False,DEN
2015,NBA,Detroit Pistons,False,DET
2015,NBA,Golden State Warriors,True,GSW
2015,NBA,Houston Rockets,True,HOU
2015,NBA,Indiana Pacers,False,IND
2015,NBA,League Average,False,
2015,NBA,Los Angeles Clippers,True,LAC
2015,NBA,Los Angeles Lakers,False,LAL
2015,NBA,Memphis Grizzlies,True,MEM
2015,NBA,Miami Heat,False,MIA
2015,NBA,Milwaukee Bucks,True,MIL
2015,NBA,Minnesota Timberwolves,False,MIN
2015,NBA,New Orleans Pelicans,True,NOP
2015,NBA,New York Knicks,False,NYK
2015,NBA,Oklahoma City Thunder,False,OKC
2015,NBA,Orlando Magic,False,ORL
2015,NBA,Philadelphia 76ers,False,PHI
2015,NBA,Phoenix Suns,False,PHO
2015,NBA,Portland Trail Blazers,True,POR
2015,NBA,Sacramento Kings,False,SAC
2015,NBA,San Antonio Spurs,True,SAS
2015,NBA,Toronto Raptors,True,TOR
2015,NBA,Utah Jazz,False,UTA
2015,NBA,Washington Wizards,True,WAS
2014,NBA,Atlanta Hawks,True,ATL
2014,NBA,Boston Celtics,False,BOS
2014,NBA,Brooklyn Nets,True,BRK
2014,NBA,Charlotte Bobcats,True,CHA
2014,NBA,Chicago Bulls,True,CHI
2014,NBA,Cleveland Cavaliers,False,CLE
2014,NBA,Dallas Mavericks,True,DAL
2014,NBA,Denver Nuggets,False,DEN
2014,NBA,Detroit Pistons,False,DET
2014,NBA,Golden State Warriors,True,GSW
2014,NBA,Houston Rockets,True,HOU
2014,NBA,Indiana Pacers,True,IND
2014,NBA,League Average,False,
2014,NBA,Los Angeles Clippers,True,LAC
2014,NBA,Los Angeles Lakers,False,LAL
2014,NBA,Memphis Grizzlies,True,MEM
2014,NBA,Miami Heat,True,MIA
2014,NBA,Milwaukee Bucks,False,MIL
2014,NBA,Minnesota Timberwolves,False,MIN
2014,NBA,New Orleans Pelicans,False,NOP
2014,NBA,New York Knicks,False,NYK
2014,NBA,Oklahoma City Thunder,True,OKC
2014,NBA,Orlando Magic,False,ORL
2014,NBA,Philadelphia 76ers,False,PHI
2014,NBA,Phoenix Suns,False,PHO
2014,NBA,Portland Trail Blazers,True,POR
2014,NBA,Sacramento Kings,False,SAC
2014,NBA,San Antonio Spurs,True,SAS
2014,NBA,Toronto Raptors,True,TOR
2014,NBA,Utah Jazz,False,UTA
2014,NBA,Washington Wizards,True,WAS
2013,NBA,Atlanta Hawks,True,ATL
2013,NBA,Boston Celtics,True,BOS
2013,NBA,Brooklyn Nets,True,BRK
2013,NBA,Charlotte Bobcats,False,CHA
2013,NBA,Chicago Bulls,True,CHI
2013,NBA,Cleveland Cavaliers,False,CLE
2013,NBA,Dallas Mavericks,False,DAL
2013,NBA,Denver Nuggets,True,DEN
2013,NBA,Detroit Pistons,False,DET
2013,NBA,Golden State Warriors,True,GSW
2013,NBA,Houston Rockets,True,HOU
2013,NBA,Indiana Pacers,True,IND
2013,NBA,League Average,False,
2013,NBA,Los Angeles Clippers,True,LAC
2013,NBA,Los Angeles Lakers,True,LAL
2013,NBA,Memphis Grizzlies,True,MEM
2013,NBA,Miami Heat,True,MIA
2013,NBA,Milwaukee Bucks,True,MIL
2013,NBA,Minnesota Timberwolves,False,MIN
2013,NBA,New Orleans Hornets,False,NOH
2013,NBA,New York Knicks,True,NYK
2013,NBA,Oklahoma City Thunder,True,OKC
2013,NBA,Orlando Magic,False,ORL
2013,NBA,Philadelphia 76ers,False,PHI
2013,NBA,Phoenix Suns,False,PHO
2013,NBA,Portland Trail Blazers,False,POR
2013,NBA,Sacramento Kings,False,SAC
2013,NBA,San Antonio Spurs,True,SAS
2013,NBA,Toronto Raptors,False,TOR
2013,NBA,Utah Jazz,False,UTA
2013,NBA,Washington Wizards,False,WAS
2012,NBA,Atlanta Hawks,True,ATL
2012,NBA,Boston Celtics,True,BOS
2012,NBA,Charlotte Bobcats,False,CHA
2012,NBA,Chicago Bulls,True,CHI
2012,NBA,Cleveland Cavaliers,False,CLE
2012,NBA,Dallas Mavericks,True,DAL
2012,NBA,Denver Nuggets,True,DEN
2012,NBA,Detroit Pistons,False,DET
2012,NBA,Golden State Warriors,False,GSW
2012,NBA,Houston Rockets,False,HOU
2012,NBA,Indiana Pacers,True,IND
2012,NBA,League Average,False,
2012,NBA,Los Angeles Clippers,True,LAC
2012,NBA,Los Angeles Lakers,True,LAL
2012,NBA,Memphis Grizzlies,True,MEM
2012,NBA,Miami Heat,True,MIA
2012,NBA,Milwaukee Bucks,False,MIL
2012,NBA,Minnesota Timberwolves,False,MIN
2012,NBA,New Jersey Nets,False,NJN
2012,NBA,New Orleans Hornets,False,NOH
2012,NBA,New York Knicks,True,NYK
2012,NBA,Oklahoma City Thunder,True,OKC
2012,NBA,Orlando Magic,True,ORL
2012,NBA,Philadelphia 76ers,True,PHI
2012,NBA,Phoenix Suns,False,PHO
2012,NBA,Portland Trail Blazers,False,POR
2012,NBA,Sacramento Kings,False,SAC
2012,NBA,San Antonio Spurs,True,SAS
2012,NBA,Toronto Raptors,False,TOR
2012,NBA,Utah Jazz,True,UTA
2012,NBA,Washington Wizards,False,WAS
2011,NBA,Atlanta Hawks,True,ATL
2011,NBA,Boston Celtics,True,BOS
2011,NBA,Charlotte Bobcats,False,CHA
2011,NBA,Chicago Bulls,True,CHI
2011,NBA,Cleveland Cavaliers,False,CLE
2011,NBA,Dallas Mavericks,True,DAL
2011,NBA,Denver Nuggets,True,DEN
2011,NBA,Detroit Pistons,False,DET
2011,NBA,Golden State Warriors,False,GSW
2011,NBA,Houston Rockets,False,HOU
2011,NBA,Indiana Pacers,True,IND
2011,NBA,League Average,False,
2011,NBA,Los Angeles Clippers,False,LAC
2011,NBA,Los Angeles Lakers,True,LAL
2011,NBA,Memphis Grizzlies,True,MEM
2011,NBA,Miami Heat,True,MIA
2011,NBA,Milwaukee Bucks,False,MIL
2011,NBA,Minnesota Timberwolves,False,MIN
2011,NBA,New Jersey Nets,False,NJN
2011,NBA,New Orleans Hornets,True,NOH
2011,NBA,New York Knicks,True,NYK
2011,NBA,Oklahoma City Thunder,True,OKC
2011,NBA,Orlando Magic,True,ORL
2011,NBA,Philadelphia 76ers,True,PHI
2011,NBA,Phoenix Suns,False,PHO
2011,NBA,Portland Trail Blazers,True,POR
2011,NBA,Sacramento Kings,False,SAC
2011,NBA,San Antonio Spurs,True,SAS
2011,NBA,Toronto Raptors,False,TOR
2011,NBA,Utah Jazz,False,UTA
2011,NBA,Washington Wizards,False,WAS
2010,NBA,Atlanta Hawks,True,ATL
2010,NBA,Boston Celtics,True,BOS
2010,NBA,Charlotte Bobcats,True,CHA
2010,NBA,Chicago Bulls,True,CHI
2010,NBA,Cleveland Cavaliers,True,CLE
2010,NBA,Dallas Mavericks,True,DAL
2010,NBA,Denver Nuggets,True,DEN
2010,NBA,Detroit Pistons,False,DET
2010,NBA,Golden State Warriors,False,GSW
2010,NBA,Houston Rockets,False,HOU
2010,NBA,Indiana Pacers,False,IND
2010,NBA,League Average,False,
2010,NBA,Los Angeles Clippers,False,LAC
2010,NBA,Los Angeles Lakers,True,LAL
2010,NBA,Memphis Grizzlies,False,MEM
2010,NBA,Miami Heat,True,MIA
2010,NBA,Milwaukee Bucks,True,MIL
2010,NBA,Minnesota Timberwolves,False,MIN
2010,NBA,New Jersey Nets,False,NJN
2010,NBA,New Orleans Hornets,False,NOH
2010,NBA,New York Knicks,False,NYK
2010,NBA,Oklahoma City Thunder,True,OKC
2010,NBA,Orlando Magic,True,ORL
2010,NBA,Philadelphia 76ers,False,PHI
2010,NBA,Phoenix Suns,True,PHO
2010,NBA,Portland Trail Blazers,True,POR
2010,NBA,Sacramento Kings,False,SAC
2010,NBA,San Antonio Spurs,True,SAS
2010,NBA,Toronto Raptors,False,TOR
2010,NBA,Utah Jazz,True,UTA
2010,NBA,Washington Wizards,False,WAS
2009,NBA,Atlanta Hawks,True,ATL
2009,NBA,Boston Celtics,True,BOS
2009,NBA,Charlotte Bobcats,False,CHA
2009,NBA,Chicago Bulls,True,CHI
2009,NBA,Cleveland Cavaliers,True,CLE
2009,NBA,Dallas Mavericks,True,DAL
2009,NBA,Denver Nuggets,True,DEN
2009,NBA,Detroit Pistons,True,DET
2009,NBA,Golden State Warriors,False,GSW
2009,NBA,Houston Rockets,True,HOU
2009,NBA,Indiana Pacers,False,IND
2009,NBA,League Average,False,
2009,NBA,Los Angeles Clippers,False,LAC
2009,NBA,Los Angeles Lakers,True,LAL
2009,NBA,Memphis Grizzlies,False,MEM
2009,NBA,Miami Heat,True,MIA
2009,NBA,Milwaukee Bucks,False,MIL
2009,NBA,Minnesota Timberwolves,False,MIN
2009,NBA,New Jersey Nets,False,NJN
